city_slug,name,category,type,subtypes,audiences,occasions,lat,lng,address,website,reservation_url,price_level,budget,indoor_outdoor,energy_level,family_friendly,nightlife_fit,duration_min,manual_boost,data_confidence,source_primary,import_batch,notes
hamburg-hamburg,HAMBURG_CHILDREN_MUSEUM_1,culture,museum,"{children_museum,museum}","{family,tourism}","{family,tourism}",,,, , ,2,medium,indoor,low,true,false,90,11,0.97,manual_seed,hamburg_v1,"High-value family learning seed"
hamburg-hamburg,HAMBURG_SCIENCE_CENTER_1,culture,museum,"{science_center,museum}","{family,tourism}","{family,tourism}",,,, , ,2,medium,indoor,low,true,false,120,11,0.97,manual_seed,hamburg_v1,"Interactive learning seed"
hamburg-hamburg,HAMBURG_VIEWPOINT_1,culture,viewpoint,"{viewpoint,romantic_spot}","{date,tourism}","{date,tourism}",,,, , ,0,free,outdoor,low,false,false,45,12,0.96,manual_seed,hamburg_v1,"Scenic date and tourism seed"
hamburg-hamburg,HAMBURG_VIEWPOINT_2,culture,viewpoint,"{viewpoint,landmark}","{date,tourism}","{date,tourism}",,,, , ,0,free,outdoor,low,false,false,45,11,0.96,manual_seed,hamburg_v1,"Scenic city highlight"
hamburg-hamburg,HAMBURG_ROOFTOP_1,nightlife,bar,"{rooftop,rooftop_bar,cocktail_bar}","{date,friends,party,tourism}","{date,friends,party,tourism}",,,, , ,3,high,mixed,medium,false,true,120,13,0.97,manual_seed,hamburg_v1,"High-value scenic nightlife seed"
hamburg-hamburg,HAMBURG_PROMENADE_1,activity,park,"{promenade,park,romantic_spot}","{date,friends,tourism}","{date,friends,tourism}",,,, , ,0,free,outdoor,low,false,false,60,10,0.95,manual_seed,hamburg_v1,"Scenic walk seed"
hamburg-hamburg,HAMBURG_BOWLING_1,activity,bowling_alley,"{bowling}","{date,friends}","{date,friends}",,,, , ,2,medium,indoor,medium,false,false,90,10,0.95,manual_seed,hamburg_v1,"Social activity seed"
hamburg-hamburg,HAMBURG_MINIGOLF_1,activity,miniature_golf,"{minigolf}","{date,friends,family}","{date,friends,family}",,,, , ,1,low,mixed,medium,true,false,75,9,0.95,manual_seed,hamburg_v1,"Low-pressure social activity seed"
hamburg-hamburg,HAMBURG_LASERTAG_1,activity,sports_centre,"{lasertag}","{friends}","{friends}",,,, , ,2,medium,indoor,high,false,false,90,9,0.95,manual_seed,hamburg_v1,"Action activity seed"
hamburg-hamburg,HAMBURG_CLIMBING_1,activity,sports_centre,"{climbing}","{date,friends}","{date,friends}",,,, , ,2,medium,indoor,high,false,false,120,9,0.95,manual_seed,hamburg_v1,"Action/social activity seed"
hamburg-hamburg,HAMBURG_WORKSHOP_POTTERY_1,activity,workshop,"{workshop_pottery}","{date,friends}","{date,friends}",,,, , ,2,medium,indoor,low,false,false,120,9,0.95,manual_seed,hamburg_v1,"Creative workshop seed"
hamburg-hamburg,HAMBURG_WORKSHOP_PAINTING_1,activity,workshop,"{workshop_painting}","{date,friends}","{date,friends}",,,, , ,2,medium,indoor,low,false,false,120,9,0.95,manual_seed,hamburg_v1,"Creative workshop seed"
hamburg-hamburg,HAMBURG_NIGHTCLUB_1,nightlife,nightclub,"{nightclub}","{friends,party}","{friends,party}",,,, , ,3,high,indoor,high,false,true,180,14,0.97,manual_seed,hamburg_v1,"Core nightlife seed"
hamburg-hamburg,HAMBURG_DISCO_1,nightlife,nightclub,"{nightclub,disco}","{friends,party}","{friends,party}",,,, , ,3,high,indoor,high,false,true,180,14,0.97,manual_seed,hamburg_v1,"Dance-focused nightlife seed"
hamburg-hamburg,HAMBURG_LATE_FOOD_1,restaurant,fast_food,"{late_food}","{friends,party}","{friends,party}",,,, , ,1,low,indoor,late,false,true,30,8,0.94,manual_seed,hamburg_v1,"Late-night food anchor"
